Beco do Batman;https://www.tripadvisor.com.br/Attraction_Review-g303631-d2349935-Reviews-Batman_Alley-Sao_Paulo_State_of_Sao_Paulo.html;https://media-cdn.tripadvisor.com/media/photo-f/02/80/3a/c0/filename-becodobatman.jpg
Edifício Martinelli;https://www.tripadvisor.com.br/Attraction_Review-g303631-d317827-Reviews-Martinelli_Building-Sao_Paulo_State_of_Sao_Paulo.html;https://media-cdn.tripadvisor.com/media/photo-s/08/d9/f5/c4/edificio-martinelle.jpg
Catedral da Sé de São Paulo;https://www.tripadvisor.com.br/Attraction_Review-g303631-d553566-Reviews-Catedral_da_Se_de_Sao_Paulo-Sao_Paulo_State_of_Sao_Paulo.html;https://media-cdn.tripadvisor.com/media/photo-f/10/71/c1/e9/catedral-da-se-sao-paulo.jpg
Rua Oscar Freire Shopping Street;https://www.tripadvisor.com.br/Attraction_Review-g303631-d9724022-Reviews-Rua_Oscar_Freire_Shopping_Street-Sao_Paulo_State_of_Sao_Paulo.html;https://media-cdn.tripadvisor.com/media/photo-i/0e/cd/73/74/parklet-da-oscar-freire.jpg
Santuário Mãe de Deus;https://www.tripadvisor.com.br/Attraction_Review-g303631-d8322699-Reviews-Santuario_Mae_de_Deus-Sao_Paulo_State_of_Sao_Paulo.html;https://media-cdn.tripadvisor.com/media/photo-i/13/a7/0a/39/santuario-mae-de-deus.jpg
Farol Santander;https://www.tripadvisor.com.br/Attraction_Review-g303631-d317843-Reviews-Farol_Santander-Sao_Paulo_State_of_Sao_Paulo.html;https://media-cdn.tripadvisor.com/media/photo-f/03/4e/f1/65/edificio-do-banespa-edificio.jpg
Pateo do Collegio;https://www.tripadvisor.com.br/Attraction_Review-g303631-d311972-Reviews-Pateo_do_Collegio-Sao_Paulo_State_of_Sao_Paulo.html;https://media-cdn.tripadvisor.com/media/photo-f/03/4e/f2/79/patio-do-colegio.jpg
Catedral Ortodoxa;https://www.tripadvisor.com.br/Attraction_Review-g303631-d2349969-Reviews-Orthodox_Cathedral-Sao_Paulo_State_of_Sao_Paulo.html;https://media-cdn.tripadvisor.com/media/photo-f/03/1c/60/b0/ibis-budget-s-room-view.jpg
Japan House;https://www.tripadvisor.com.br/Attraction_Review-g303631-d12448544-Reviews-Japan_House_Sao_Paulo-Sao_Paulo_State_of_Sao_Paulo.html;https://media-cdn.tripadvisor.com/media/photo-f/12/1a/96/cc/fachada.jpg
Autódromo José Carlos Pace;https://www.tripadvisor.com.br/Attraction_Review-g303631-d2349931-Reviews-Autodromo_Jose_Carlos_Pace-Sao_Paulo_State_of_Sao_Paulo.html;https://media-cdn.tripadvisor.com/media/photo-s/03/39/20/4e/autodromo-de-interlagos.jpg
Monumento à Independência;https://www.tripadvisor.com.br/Attraction_Review-g303631-d4377491-Reviews-Sao_Paulo_Monument_to_Independence-Sao_Paulo_State_of_Sao_Paulo.html;https://media-cdn.tripadvisor.com/media/photo-s/0a/0f/fa/d0/monumento-a-independencia.jpg
Edifício Copan;https://www.tripadvisor.com.br/Attraction_Review-g303631-d317851-Reviews-Copan_Building-Sao_Paulo_State_of_Sao_Paulo.html;https://media-cdn.tripadvisor.com/media/photo-f/08/d4/33/5b/sao-paulo.jpg
Estádio do Pacaembu;https://www.tripadvisor.com.br/Attraction_Review-g303631-d2350036-Reviews-Pacaembu_Stadium-Sao_Paulo_State_of_Sao_Paulo.html;https://media-cdn.tripadvisor.com/media/photo-f/04/56/4f/a2/estadio-do-pacaembu-paulo.jpg
Rua Haddock Lobo;https://www.tripadvisor.com.br/Attraction_Review-g303631-d781069-Reviews-Haddock_Lobo_Street-Sao_Paulo_State_of_Sao_Paulo.html;https://media-cdn.tripadvisor.com/media/photo-i/0d/30/55/d6/street-view.jpg
Conjunto Nacional;https://www.tripadvisor.com.br/Attraction_Review-g303631-d8343135-Reviews-Conjunto_Nacional-Sao_Paulo_State_of_Sao_Paulo.html;https://media-cdn.tripadvisor.com/media/photo-s/08/2e/5f/cc/conjunto-nacional.jpg
Estádio do Morumbi;https://www.tripadvisor.com.br/Attraction_Review-g303631-d2350028-Reviews-Morumbi_Stadium-Sao_Paulo_State_of_Sao_Paulo.html;https://media-cdn.tripadvisor.com/media/photo-f/02/c3/e2/6d/estadio-do-morumbi-cicero.jpg
Praça da Liberdade;https://www.tripadvisor.com.br/Attraction_Review-g303631-d317775-Reviews-Praca_da_Liberdade-Sao_Paulo_State_of_Sao_Paulo.html;https://media-cdn.tripadvisor.com/media/photo-i/0f/12/c5/61/prateleira-de-produtos.jpg
Monumento às Bandeiras;https://www.tripadvisor.com.br/Attraction_Review-g303631-d2350219-Reviews-Monument_to_the_Bandeiras-Sao_Paulo_State_of_Sao_Paulo.html;https://media-cdn.tripadvisor.com/media/photo-f/08/e6/c6/25/monumento-as-bandeiras.jpg
Rua Augusta;https://www.tripadvisor.com.br/Attraction_Review-g303631-d2703936-Reviews-Augusta_Street-Sao_Paulo_State_of_Sao_Paulo.html;https://media-cdn.tripadvisor.com/media/photo-f/04/6d/51/8b/rua-augusta.jpg
Estação da Luz;https://www.tripadvisor.com.br/Attraction_Review-g303631-d2350017-Reviews-Estacao_da_Luz-Sao_Paulo_State_of_Sao_Paulo.html;https://media-cdn.tripadvisor.com/media/photo-s/02/82/a1/bf/filename-dsc01519-jpg.jpg
Igreja Nossa Senhora da Consolação;https://www.tripadvisor.com.br/Attraction_Review-g303631-d7300089-Reviews-Igreja_Nossa_Senhora_da_Consolacao-Sao_Paulo_State_of_Sao_Paulo.html;https://media-cdn.tripadvisor.com/media/photo-f/07/08/fe/ea/igrejadaconsolacao-rf.jpg
SESC Itaquera;https://www.tripadvisor.com.br/Attraction_Review-g303631-d8775292-Reviews-SESC_Itaquera-Sao_Paulo_State_of_Sao_Paulo.html;https://media-cdn.tripadvisor.com/media/photo-s/09/a1/b4/f1/sesc-itaquera.jpg
Fazendinha Estação Natureza;https://www.tripadvisor.com.br/Attraction_Review-g303631-d3982174-Reviews-Fazendinha_Estacao_Natureza-Sao_Paulo_State_of_Sao_Paulo.html;vazio
